name,subject,email,phone
ครูสมชาย ใจดี,คณิต,somchai@school.ac.th,081-234-5678
ครูสมหญิง รักดี,ไทย,somying@school.ac.th,082-345-6789
ครูวิชัย เรืองศรี,อังกฤษ,wichai@school.ac.th,083-456-7890
ครูวิภา สว่างใจ,วิทยาศาสตร์,wipa@school.ac.th,084-567-8901
ครูสมศักดิ์ มั่นคง,สังคม,somsak@school.ac.th,085-678-9012
ครูวิมล งามสง่า,คณิต,wimon@school.ac.th,086-789-0123
ครูสมพร ดีงาม,ไทย,somporn@school.ac.th,087-890-1234
ครูวิไล ประเสริฐ,อังกฤษ,wilai@school.ac.th,088-901-2345
ครูวิทยา ชาญฉลาด,วิทยาศาสตร์,wittaya@school.ac.th,089-012-3456
ครูสมหมาย สุขใจ,สังคม,sommai@school.ac.th,090-123-4567
